"FL_DATE","TAIL_NUM","CARRIER","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","DEP_TIME","DEP_DELAY","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","DIVERTED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017-01-01,"N3CGAA","AA","DEN","Denver, CO","PHX","Phoenix, AZ","1135",-10.00,"1328",-17.00,0.00,"",0.00,,,,,,
2017-01-01,"N3CGAA","AA","PHX","Phoenix, AZ","PDX","Portland, OR","1502",-8.00,"1653",-8.00,0.00,"",0.00,,,,,,
2017-01-01,"N3EVAA","AA","DCA","Washington, DC","MIA","Miami, FL","0646",-13.00,"0930",-14.00,0.00,"",0.00,,,,,,
2017-01-01,"N3NAAA","AA","MIA","Miami, FL","LGA","New York, NY","1402",-3.00,"1646",-14.00,0.00,"",0.00,,,,,,
2017-01-01,"N3FCAA","AA","PHX","Phoenix, AZ","DEN","Denver, CO","2310",16.00,"0107",28.00,0.00,"",0.00,0.00,0.00,12.00,0.00,16.00,
2017-01-01,"N3LMAA","AA","SEA","Seattle, WA","PHX","Phoenix, AZ","1800",1.00,"2141",-2.00,0.00,"",0.00,,,,,,
2017-01-01,"N3DVAA","AA","ORD","Chicago, IL","MSP","Minneapolis, MN","1357",22.00,"1523",23.00,0.00,"",0.00,22.00,0.00,1.00,0.00,0.00,
2017-01-01,"N3KCAA","AA","MIA","Miami, FL","BWI","Baltimore, MD","2035",0.00,"2253",-17.00,0.00,"",0.00,,,,,,
2017-01-01,"N3DHAA","AA","MIA","Miami, FL","ORD","Chicago, IL","2135",6.00,"2343",-1.00,0.00,"",0.00,,,,,,
2017-01-01,"N4XKAA","AA","DFW","Dallas/Fort Worth, TX","SAT","San Antonio, TX","1330",55.00,"1423",36.00,0.00,"",0.00,17.00,0.00,0.00,0.00,19.00,
